group;value
6;107
4;20
0;79
3;21
0;90
1;58
2;16
3;48
6;113
8;56
3;30
6;8
8;103
1;95
4;45
1;109
2;59
1;74
3;1
4;68
5;17
0;3
5;77
3;5
4;35
7;32
0;30
9;69
6;26
1;39
7;79
5;30
6;41
7;84
2;83
0;83
7;23
6;70
7;58
1;100
8;46
3;94
8;86
0;15
3;95
8;33
5;85
4;39
1;59
3;63
1;60
6;62
3;112
1;51
3;101
3;21
3;88
4;73
0;10
9;50
3;107
9;83
4;43
7;50
7;23
3;6
8;69
0;47
5;59
5;118
0;109
1;87
3;72
2;2
4;80
3;100
3;74
4;13
4;34
7;37
1;95
9;11
5;0
3;106
8;61
5;78
5;39
4;94
3;94
0;36
4;57
9;16
7;22
3;16
3;52
5;41
8;58
5;81
8;72
5;84
3;57
0;102
5;71
3;75
2;80
7;117
7;13
4;14
8;5
9;17
9;41
1;112
9;40
7;102
3;14
8;85
9;83
1;99
0;32
2;28
1;108
0;90
4;82
0;30
8;72
0;113
2;117
0;101
9;22
8;108
4;101
5;95
5;6
0;68
1;31
9;13
5;55
9;11
7;26
6;93
4;80
4;106
1;110
6;43
9;75
7;104
6;63
2;97
0;103
1;84
6;111
7;98
2;87
3;83
4;29
7;73
6;36
7;15
2;8
6;14
6;58
7;15
7;28
1;74
0;68
7;74
5;3
7;44
2;63
6;82
1;25
6;55
8;67
4;69
3;60
8;88
8;66
6;84
3;4
9;98
0;67
4;97
5;85
9;75
8;112
2;37
1;87
0;84
4;41
9;14
3;37
5;62
3;70
8;57
0;23
8;24
2;98
7;29
5;76
4;105
0;10
4;51
3;52
6;80
7;1
1;119
2;103
5;97
4;86
1;86
4;73
0;36
2;25
6;69
6;4
4;49
1;3
9;66
1;30
8;46
3;17
8;2
5;31
1;39
9;51
1;45
9;29
4;75
0;43
6;91
2;81
3;58
0;26
0;91
9;89
5;81
7;38
7;64
3;17
8;0
1;79
9;5
8;90
6;51
8;23
2;30
6;47
7;117
1;4
8;105
3;32
1;14
2;11
7;58
0;33
9;64
0;89
5;94
1;17
7;39
4;107
9;77
6;37
6;74
2;63
2;99
5;41
5;21
2;79
0;49
1;118
8;100
7;32
8;44
3;62
0;51
0;62
1;46
0;82
7;7
4;95
2;24
3;58
4;55
5;32
2;67
2;104
5;65
0;113
3;41
1;19
5;10
2;28
2;53
5;41
8;96
7;106
3;50
7;16
7;73
9;71
2;92
4;33
7;58
9;118
0;77
1;108
0;40
8;114
0;94
0;46
0;84
0;40
0;47
4;25
0;115
1;28
5;8
3;93
6;51
4;53
6;48
3;107
3;57
6;111
8;9
9;17
7;49
0;53
3;60
1;7
3;94
1;104
0;114
5;104
8;52
2;29
5;0
6;99
1;88
1;79
8;80
7;78
1;112
5;4
8;70
4;24
5;19
2;88
9;54
8;60
9;16
9;49
4;69
4;82
8;34
0;107
2;74
4;61
7;70
9;61
8;119
4;40
5;55
5;11
2;94
5;29
3;58
4;36
0;104
1;90
4;89
1;113
9;25
0;76
7;100
4;44
7;89
7;25
9;20
6;84
6;30
0;73
8;118
5;6
2;49
5;13
2;105
7;57
1;8
7;8
3;41
9;74
8;41
0;71
5;48
4;107
8;2
2;60
1;65
9;98
9;92
9;11
9;109
5;94
2;113
6;102
5;6
4;115
5;28
1;55
5;76
1;23
5;5
5;83
5;44
4;4
9;36
5;29
6;103
1;63
9;75
3;93
1;66
5;11
0;42
0;48
7;34
6;63
9;72
4;82
6;86
7;86
4;74
2;76
8;99
8;32
4;75
8;1
3;110
1;27
3;32
1;17
0;58
8;16
7;31
6;16
5;1
1;82
6;8
3;36
6;45
8;88
8;19
1;53
4;55
5;98
4;78
8;59
2;20
6;14
6;11
0;0
5;84
0;15
6;36
4;39
4;70
1;61
5;98
4;98
7;90
4;107
1;60
5;68
7;32
6;45
5;2
6;44
2;80
2;59
5;32
1;98
8;38
6;110
4;36
8;109
6;16
2;47
9;7
7;14
1;63
4;101
9;37
7;109
6;97
5;61
5;10
6;24
4;78
6;62
3;37
2;20
7;97
2;112
2;23
8;2
1;62
4;65
2;19
6;38
1;113
5;81
5;23
7;19
7;95
4;109
5;20
5;11
2;103
4;113
3;105
8;85
4;1
5;30
5;27
5;112
6;85
3;4
2;119
3;22
6;54
5;42
0;114
8;5
1;12
6;37
8;119
5;116
3;17
4;35
6;60
3;107
2;32
7;60
5;110
2;16
5;55
9;100
9;8
6;118
6;107
3;80
7;95
2;11
0;20
8;96
7;9
5;101
7;33
0;107
2;78
2;100
8;47
7;1
6;97
8;119
4;31
4;56
7;39
7;105
5;49
7;80
1;82
0;22
0;64
9;71
5;7
9;69
4;12
9;87
8;114
8;58
2;52
3;92
0;24
6;55
3;117
9;37
0;38
0;46
8;59
6;61
6;45
2;70
0;100
8;92
4;83
2;70
0;32
9;94
9;15
4;84
2;31
8;111
5;105
7;11
8;39
9;88
8;65
8;56
3;51
0;85
1;8
6;72
0;108
7;9
7;106
0;28
3;29
1;66
9;49
8;82
6;79
7;22
7;40
1;11
4;32
7;10
3;61
5;82
1;114
4;34
7;35
6;43
4;2
6;51
6;38
5;64
7;78
7;68
9;48
3;6
2;31
4;18
0;45
0;90
2;2
8;42
2;108
0;84
3;28
9;40
4;60
4;7
5;7
8;64
6;58
9;113
5;24
9;76
6;70
4;100
0;34
8;38
2;56
3;0
3;105
7;47
1;87
4;97
2;69
1;53
6;50
8;41
4;64
8;61
4;61
2;111
2;73
3;63
3;82
3;100
8;8
9;30
3;90
5;15
5;116
2;101
1;59
8;64
2;9
8;21
9;3
5;104
8;83
2;40
4;4
6;102
1;72
3;85
1;104
5;114
4;92
8;80
6;46
4;37
0;31
4;72
8;26
8;73
1;32
2;53
9;118
5;24
2;2
7;89
4;62
7;23
7;50
0;15
6;102
4;117
4;111
4;4
6;100
6;22
5;25
4;119
4;31
4;87
6;35
9;11
3;37
3;58
0;74
9;96
2;80
6;0
6;90
5;101
9;74
2;73
4;29
9;105
4;18
0;72
5;113
4;30
5;115
7;0
9;70
8;53
9;44
7;71
8;26
0;41
0;64
2;116
8;64
9;71
4;67
8;67
3;63
7;89
7;92
7;33
3;27
0;44
6;40
0;4
0;44
5;38
4;33
2;63
2;108
8;27
7;80
4;21
4;31
3;61
0;60
2;16
9;41
5;4
7;22
3;87
6;107
1;99
0;73
9;88
8;39
9;65
5;87
6;80
0;7
0;9
4;40
7;84
4;48
4;72
8;66
2;40
4;72
9;104
8;114
6;110
8;46
7;1
0;105
1;59
1;22
1;80
1;58
7;91
5;28
2;74
0;62
2;107
2;17
3;103
7;97
7;59
8;7
2;57
7;64
2;31
4;18
2;66
3;106
4;50
1;77
0;110
5;92
6;118
8;30
1;107
8;65
3;79
7;114
8;21
2;3
4;19
3;78
0;6
8;22
4;102
6;16
9;102
0;84
2;103
1;19
7;16
0;85
6;71
1;68
9;79
8;81
4;67
5;3
3;14
7;116
6;103
9;48
5;74
5;115
3;2
1;36
0;104
1;50
6;111
9;60
9;36
7;0
4;93
1;20
6;100
2;72
5;1
3;112
0;32
9;37
1;29
0;39
3;86
8;5
7;21
2;11
1;20
7;47
0;42
9;75
6;59
0;107
6;27
3;82
3;43
6;22
0;18
0;78
0;67
3;10
6;6
7;30
5;104
7;73
7;77
8;89
4;11
2;2
4;97
3;25
5;62
5;111
4;99
4;16
0;28
8;119
1;69
0;29
8;26
4;20
9;61
2;22
0;83
5;17
1;69
4;19
7;3
3;93
9;96
7;115
0;0
4;56
6;50
9;77
0;6
8;103
5;58
2;118
6;40
4;98
8;115
5;112
2;72
7;91
1;87
6;70
6;53
8;11
1;63
5;32
6;89
3;92
4;72
2;92
8;80
5;61
8;105
4;72
1;27
2;6
8;67
8;81
6;118
3;88
8;47
1;97
6;1
9;28
4;61
2;34
0;91
9;35
0;19
5;21
8;80
2;44
0;80
4;98
0;8
3;92
8;57
6;10
0;9
7;15
7;44
0;25
8;10
4;89
3;27
3;55
5;92
9;20
9;12
2;89
0;23
9;101
4;91
2;109
2;74
5;80
8;14
8;116
3;101
5;52
5;102
9;43
8;49
8;26
0;21
4;17
7;102
9;40
4;7
5;118
9;66
6;33
9;62
2;4
8;105
9;8
6;63
3;9
8;72
9;72
0;32
7;78
1;73
2;37
7;107
8;90
8;7
2;76
5;3
0;88
2;54
0;87
7;60
1;70
1;43
4;95
4;50
9;18
2;110
8;35
1;9
9;59
0;27
2;12
0;112
9;45
9;58
1;70
7;119
7;45
3;20
1;25
2;60
3;118
9;2
6;91
7;62
2;11
3;19
6;33
4;33
1;7
0;102
8;15
4;0
0;6
8;57
1;65
1;38
3;81
1;53
7;35
7;33
5;89
6;71
6;24
7;90
8;38
6;5
2;51
7;50
1;94
4;110
2;83
9;81
3;34
7;53
7;63
3;19
2;51
7;73
2;83
4;63
1;23
0;51
5;64
3;115
2;67
8;72
5;12
4;61
9;18
1;15
6;83
1;14
2;55
2;20
7;59
8;28
9;85
3;65
7;111
1;70
6;76
0;11
4;111
7;32
7;11
7;43
7;84
1;96
4;94
1;87
1;32
9;96
4;118
4;106
3;113
0;52
8;2
8;85
4;52
0;117
5;21
7;28
3;35
1;93
2;39
8;10
5;79
5;93
5;48
2;105
5;77
4;2
6;93
9;79
8;3
0;15
2;32
8;93
0;33
0;69
7;1
8;87
9;83
2;45
1;63
8;74
4;100
4;74
0;9
6;71
9;50
2;38
4;4
7;110
9;50
5;34
6;34
8;37
1;46
6;20
8;96
6;64
9;5
3;47
6;11
7;4
1;115
8;85
5;106
1;67
3;54
2;23
0;104
8;116
0;30
8;83
1;87
8;71
3;25
8;24
6;95
5;51
7;25
4;33
0;67
6;4
2;110
9;55
1;90
9;3
8;36
9;14
2;60
0;10
5;70
5;92
4;10
4;19
5;66
6;71
8;111
6;50
1;64
9;6
2;92
8;1
4;10
6;110
4;74
9;114
6;13
0;78
3;72
9;89
4;78
2;24
0;66
1;53
5;104
9;84
9;16
8;72
7;27
9;36
9;72
6;111
9;30
2;23
1;82
4;73
4;55
1;108
9;34
2;40
5;21
5;9
0;10
1;57
9;52
6;93
6;55
7;22
5;52
3;94
1;98
7;53
1;90
3;40
6;112
1;33
0;66
3;24
2;70
0;96
2;72
5;81
7;93
0;58
2;11
5;36
4;36
0;29
8;9
9;77
7;66
3;59
3;75
6;73
3;67
8;2
6;0
3;91
9;73
0;84
9;94
1;63
3;8
2;56
0;10
2;105
9;103
0;36
5;88
6;13
4;57
7;82
4;39
9;70
9;93
4;19
7;47
4;23
4;78
6;46
1;106
7;19
0;58
4;39
8;11
2;54
5;38
4;70
3;64
6;12
5;39
5;92
5;27
4;95
0;105
3;5
7;23
8;80
6;55
5;17
3;60
7;14
4;104
0;40
0;116
6;0
2;27
2;113
9;19
5;98
8;51
3;52
5;93
7;33
7;103
6;105
2;43
8;118
8;17
1;99
2;101
4;92
9;107
3;35
4;100
6;85
4;111
2;3
0;69
6;105
2;94
3;117
9;15
8;9
2;93
5;35
3;21
8;107
1;119
7;83
2;14
6;7
3;1
1;101
0;112
4;61
7;116
4;47
5;56
4;63
9;86
3;74
6;113
3;49
7;49
4;108
7;63
7;11
7;36
6;114
1;58
7;79
7;49
1;19
6;60
9;61
3;17
6;100
6;98
4;109
5;101
8;115
8;13
2;105
9;58
9;55
3;9
9;24
6;80
2;67
0;57
3;17
3;99
8;33
1;13
6;65
0;16
8;69
6;18
1;9
4;30
3;99
1;5
3;80
8;68
3;98
7;14
1;100
8;7
6;105
4;73
3;15
8;30
9;41
9;13
6;7
3;30
9;46
4;57
0;117
6;36
5;94
8;114
0;81
1;104
6;79
7;94
5;74
3;110
6;104
9;69
2;43
7;98
5;54
7;47
4;84
1;50
4;6
4;75
3;27
6;12
2;111
6;5
0;64
8;114
0;30
0;48
4;0
1;97
4;55
2;4
8;39
2;66
3;87
0;39
0;83
2;53
9;56
6;89
9;39
2;46
0;35
2;114
8;113
3;104
5;93
7;80
7;87
3;97
0;49
3;75
6;82
7;4
1;117
8;27
6;46
1;85
6;4
9;8
0;106
1;48
9;34
6;110
9;67
0;112
5;10
1;11
5;28
8;17
9;87
1;66
7;40
7;22
0;5
9;70
2;89
8;69
2;96
4;18
0;17
1;83
9;54
0;3
7;21
0;102
0;61
0;82
5;40
4;4
6;7
6;88
6;106
7;72
9;66
6;49
0;70
3;111
4;48
7;29
1;105
3;40
6;56
0;52
7;22
9;22
7;96
5;117
3;40
4;82
8;43
7;50
5;113
5;48
1;4
8;68
5;96
9;113
9;60
2;76
8;57
6;14
9;110
9;23
7;71
4;24
9;86
9;54
0;88
9;3
1;87
2;7
6;42
8;42
8;16
1;46
1;55
3;67
3;41
6;25
5;12
9;48
1;74
5;102
4;72
7;116
9;61
0;6
9;24
0;36
1;0
6;20
4;79
8;74
7;80
9;85
4;106
5;33
8;10
6;104
7;47
7;2
5;90
1;55
7;106
7;38
9;46
8;43
6;87
8;55
8;40
7;81
6;34
4;6
8;69
8;93
1;117
7;41
6;55
7;91
5;60
7;63
8;39
2;88
5;72
1;69
0;34
5;75
2;82
2;15
6;27
0;93
8;111
0;115
3;18
3;87
3;74
0;62
0;94
8;56
8;63
2;26
9;27
3;73
4;103
3;72
7;25
2;20
8;34
4;47
4;83
3;108
5;38
3;99
0;105
1;5
9;104
9;42
5;32
6;34
9;25
1;109
6;115
8;2
8;107
7;106
3;116
3;20
8;73
3;97
1;109
8;86
9;101
0;42
7;116
7;68
4;40
3;57
0;4
4;88
6;75
8;118
7;40
0;95
4;43
1;87
4;5
2;7
5;76
0;110
4;53
3;10
8;30
0;96
0;4
2;48
0;95
3;10
3;31
1;85
3;58
3;29
1;70
9;40
3;22
0;82
1;58
4;10
5;55
9;33
9;49
8;108
3;74
2;46
0;23
0;54
1;22
4;15
5;22
3;22
9;9
5;56
7;64
4;65
0;40
1;73
0;86
3;55
5;114
7;15
8;16
5;88
0;45
1;85
4;20
2;21
0;32
3;117
4;55
9;17
4;30
3;43
8;45
8;12
1;33
9;32
9;119
4;102
8;102
0;102
4;12
7;54
2;43
0;89
4;118
1;8
6;90
6;17
8;7
0;106
7;37
6;23
1;50
6;1
9;117
6;102
1;115
2;85
6;79
6;3
8;52
8;92
8;102
1;32
2;51
8;67
4;49
8;118
9;41
7;53
0;93
6;97
1;84
4;101
1;21
0;19
4;69
9;114
2;55
5;86
3;66
2;83
3;0
0;35
7;74
0;71
2;62
6;23
4;15
9;31
2;118
2;33
0;113
8;106
9;82
8;45
1;108
6;70
8;106
4;25
4;47
9;20
8;77
2;89
2;13
9;59
8;17
1;72
4;82
0;104
7;69
0;60
8;73
2;30
3;92
6;75
4;45
2;43
9;72
8;73
7;56
6;105
3;90
2;33
6;9
1;106
0;53
6;81
7;104
5;74
1;16
0;102
0;76
1;50
9;3
8;100
0;60
6;107
3;68
7;27
3;80
8;39
0;14
7;93
7;19
5;22
0;54
0;6
2;2
5;74
1;45
6;53
1;99
4;75
1;51
8;29
9;5
2;118
7;72
7;5
5;7
9;47
3;32
5;55
3;49
9;105
2;114
3;71
0;105
1;79
3;73
8;2
7;24
7;75
1;58
6;17
2;27
1;96
6;77
6;64
5;17
7;95
1;20
0;104
8;61
8;29
4;36
7;41
6;82
9;81
4;111
6;44
2;119
7;105
0;28
0;6
7;89
0;84
6;110
3;106
9;59
8;70
8;3
7;48
7;114
7;56
4;73
1;84
9;2
5;108
2;29
8;114
9;46
1;32
4;114
9;51
0;35
2;22
2;25
6;43
3;119
1;99
4;64
3;20
5;5
1;70
6;22
6;19
3;39
4;72
3;53
4;22
9;108
4;59
1;23
9;22
2;88
2;29
3;59
2;106
1;53
9;63
2;10
5;24
2;32
1;47
5;110
2;4
2;98
0;111
9;108
9;64
8;27
8;66
7;35
6;63
4;6
5;36
6;96
3;26
6;68
5;35
3;4
8;25
5;27
7;97
8;69
2;108
3;115
2;29
0;56
9;31
0;59
8;70
8;52
9;44
6;58
3;91
8;57
5;1
0;102
0;118
7;111
3;35
0;94
7;93
5;74
7;41
5;11
3;67
1;97
7;83
4;6
0;13
5;29
8;30
6;54
8;85
3;102
5;105
0;34
8;0
0;77
1;58
3;7
5;21
3;76
0;117
6;72
5;107
0;93
4;78
9;102
0;6
6;79
6;62
9;114
5;43
2;5
